city,year,case,,,,,,,,,,,,,,,,,,,,,
台中市,2018,77,,,,,,,,,,,,,,,,,,,,,
彰化縣,2018,77,,,,,,,,,,,,,,,,,,,,,
雲林縣,2018,32,,,,,,,,,,,,,,,,,,,,,
嘉義市,2018,11,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2018,29,,,,,,,,,,,,,,,,,,,,,
台南市,2018,158,,,,,,,,,,,,,,,,,,,,,
高雄市,2018,145,,,,,,,,,,,,,,,,,,,,,
屏東縣,2018,73,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2018,39,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2018,26,,,,,,,,,,,,,,,,,,,,,
台東縣,2018,35,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2018,5,,,,,,,,,,,,,,,,,,,,,
金門縣,2018,7,,,,,,,,,,,,,,,,,,,,,
連江縣,2018,0,,,,,,,,,,,,,,,,,,,,,
台北市,2019,191,,,,,,,,,,,,,,,,,,,,,
新北市,2019,389,,,,,,,,,,,,,,,,,,,,,
基隆市,2019,25,,,,,,,,,,,,,,,,,,,,,
桃園市,2019,205,,,,,,,,,,,,,,,,,,,,,
新竹市,2019,21,,,,,,,,,,,,,,,,,,,,,
新竹縣,2019,28,,,,,,,,,,,,,,,,,,,,,
苗栗縣,2019,63,,,,,,,,,,,,,,,,,,,,,
南投縣,2019,60,,,,,,,,,,,,,,,,,,,,,
台中市,2019,192,,,,,,,,,,,,,,,,,,,,,
彰化縣,2019,82,,,,,,,,,,,,,,,,,,,,,
雲林縣,2019,91,,,,,,,,,,,,,,,,,,,,,
嘉義市,2019,26,,,,,,,,,,,,,,,,,,,,,
嘉義縣,2019,66,,,,,,,,,,,,,,,,,,,,,
台南市,2019,257,,,,,,,,,,,,,,,,,,,,,
高雄市,2019,225,,,,,,,,,,,,,,,,,,,,,
屏東縣,2019,92,,,,,,,,,,,,,,,,,,,,,
宜蘭縣,2019,66,,,,,,,,,,,,,,,,,,,,,
花蓮縣,2019,51,,,,,,,,,,,,,,,,,,,,,
台東縣,2019,55,,,,,,,,,,,,,,,,,,,,,
澎湖縣,2019,7,,,,,,,,,,,,,,,,,,,,,
金門縣,2019,14,,,,,,,,,,,,,,,,,,,,,
連江縣,2019,0,,,,,,,,,,,,,,,,,,,,,
